CoC_Name,CoC_Number,Homeless_Individuals,Overall_Homeless,Sheltered_ES_Homeless,Sheltered_SH_Homeless,Sheltered_TH_Homeless,Sheltered_Total_Homeless,State,Unsheltered_Homeless
Anchorage CoC,AK-500,791,1147,704,0,393,1097,AK,50
Anchorage CoC,AK-500,905,1105,573,0,292,865,AK,240
Anchorage CoC,AK-500,736,1023,665,0,305,970,AK,53
Anchorage CoC,AK-500,848,1128,654,0,319,973,AK,155
Anchorage CoC,AK-500,814,1094,751,0,249,1000,AK,94
Anchorage CoC,AK-500,837,1208,694,0,335,1029,AK,179
Anchorage CoC,AK-500,844,1122,676,0,394,1070,AK,52
Alaska Balance of State CoC,AK-501,506,717,363,0,215,578,AK,139
Alaska Balance of State CoC,AK-501,622,835,434,0,199,633,AK,202
Alaska Balance of State CoC,AK-501,473,761,474,0,195,669,AK,92
Alaska Balance of State CoC,AK-501,518,824,461,0,210,671,AK,153
Alaska Balance of State CoC,AK-501,505,748,433,0,177,610,AK,138
Alaska Balance of State CoC,AK-501,507,766,435,0,184,619,AK,147
Alaska Balance of State CoC,AK-501,620,922,497,0,210,707,AK,215
"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",AL-500,932,1092,540,31,304,875,AL,217
"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",AL-500,915,1329,387,31,497,915,AL,414
"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",AL-500,1222,1707,347,32,630,1009,AL,698
"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",AL-500,1089,1469,373,31,556,960,AL,509
"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",AL-500,720,901,431,32,219,682,AL,219
"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",AL-500,886,1153,448,20,448,916,AL,237
"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",AL-500,927,1228,531,34,467,1032,AL,196
Mobile City & County/Baldwin County CoC,AL-501,399,551,225,0,93,318,AL,233
Mobile City & County/Baldwin County CoC,AL-501,397,598,287,0,174,461,AL,137
Mobile City & County/Baldwin County CoC,AL-501,343,493,153,0,107,260,AL,233
Mobile City & County/Baldwin County CoC,AL-501,426,606,196,0,145,341,AL,265
Mobile City & County/Baldwin County CoC,AL-501,422,634,212,0,112,324,AL,310
Mobile City & County/Baldwin County CoC,AL-501,470,578,258,0,106,364,AL,214
Mobile City & County/Baldwin County CoC,AL-501,477,623,284,0,103,387,AL,236
Florence/Northwest Alabama CoC,AL-502,132,209,38,0,151,189,AL,20
Florence/Northwest Alabama CoC,AL-502,166,256,128,0,106,234,AL,22
Florence/Northwest Alabama CoC,AL-502,158,245,60,0,154,214,AL,31
Florence/Northwest Alabama CoC,AL-502,194,337,85,0,201,286,AL,51
Florence/Northwest Alabama CoC,AL-502,162,192,18,0,170,188,AL,4
Florence/Northwest Alabama CoC,AL-502,133,223,22,0,175,197,AL,26
Florence/Northwest Alabama CoC,AL-502,155,155,27,0,106,133,AL,22
Huntsville/North Alabama CoC,AL-503,448,607,336,0,96,432,AL,175
Huntsville/North Alabama CoC,AL-503,457,586,320,0,89,409,AL,177
Huntsville/North Alabama CoC,AL-503,386,536,413,0,86,499,AL,37
Huntsville/North Alabama CoC,AL-503,336,424,283,0,25,308,AL,116
Huntsville/North Alabama CoC,AL-503,283,385,282,0,16,298,AL,87
Huntsville/North Alabama CoC,AL-503,327,436,325,0,12,337,AL,99
Huntsville/North Alabama CoC,AL-503,300,420,339,0,18,357,AL,63
Montgomery City & County CoC,AL-504,284,377,221,0,93,314,AL,63
Montgomery City & County CoC,AL-504,446,515,159,0,240,399,AL,116
Montgomery City & County CoC,AL-504,333,441,171,0,202,373,AL,68
Montgomery City & County CoC,AL-504,285,367,173,0,120,293,AL,74
Montgomery City & County CoC,AL-504,365,490,120,0,289,409,AL,81
Montgomery City & County CoC,AL-504,272,369,173,0,127,300,AL,69
Montgomery City & County CoC,AL-504,383,487,96,0,247,343,AL,144
